date,bitcoin
2023-05-21,87
2023-05-22,98
2023-05-23,100
2023-05-24,94
2023-05-25,97
2023-05-26,97
2023-05-27,85
2023-05-28,90
2023-05-29,96
2023-05-30,100
2023-05-31,97
2023-06-01,83
2023-06-02,80
2023-06-03,74
2023-06-04,73
2023-06-05,95
2023-06-06,100
2023-06-07,91
2023-06-08,91
2023-06-09,88
2023-06-10,100
2023-06-11,96
2023-06-12,95
2023-06-13,88
2023-06-14,95
2023-06-15,76
2023-06-16,70
2023-06-17,63
2023-06-18,62
2023-06-19,67
2023-06-20,72
2023-06-21,100
2023-06-22,91
2023-06-23,89
2023-06-24,78
2023-06-25,75
2023-06-26,82
2023-06-27,75
2023-06-28,78
2023-06-29,91
2023-06-30,100
2023-07-01,86
2023-07-02,87
2023-07-03,97
2023-07-04,94
2023-07-05,88
2023-07-06,100
2023-07-07,91
2023-07-08,89
2023-07-09,86
2023-07-10,96
2023-07-11,92
2023-07-12,93
2023-07-13,94
2023-07-14,100
2023-07-15,85
2023-07-16,81
2023-07-17,86
2023-07-18,83
2023-07-19,85
2023-07-20,96
2023-07-21,96
2023-07-22,82
2023-07-23,85
2023-07-24,100
2023-07-25,96
2023-07-26,96
2023-07-27,97
2023-07-28,97
2023-07-29,90
2023-07-30,86
2023-07-31,92
2023-08-01,94
2023-08-02,99
2023-08-03,95
2023-08-04,99
2023-08-05,94
2023-08-06,89
2023-08-07,94
2023-08-08,98
2023-08-09,100
2023-08-10,94
2023-08-11,92
2023-08-12,88
2023-08-13,87
2023-08-14,94
2023-08-15,95
2023-08-16,99
2023-08-17,70
2023-08-18,100
2023-08-19,74
2023-08-20,62
2023-08-21,66
2023-08-22,69
2023-08-23,70
2023-08-24,85
2023-08-25,84
2023-08-26,74
2023-08-27,77
2023-08-28,79
2023-08-29,100
2023-08-30,91
2023-08-31,92
2023-09-01,94
2023-09-02,83
2023-09-03,82
2023-09-04,84
2023-09-05,87
2023-09-06,84
2023-09-07,96
2023-09-08,97
2023-09-09,91
2023-09-10,87
2023-09-11,98
2023-09-12,100
2023-09-13,99
2023-09-14,92
2023-09-15,91
2023-09-16,82
2023-09-17,81
2023-09-18,97
2023-09-19,96
2023-09-20,97
2023-09-21,96
2023-09-22,92
2023-09-23,85
2023-09-24,83
2023-09-25,99
2023-09-26,92
2023-09-27,93
2023-09-28,79
2023-09-29,79
2023-09-30,73
2023-10-01,80
2023-10-02,100
2023-10-03,86
2023-10-04,85
2023-10-05,94
2023-10-06,92
2023-10-07,89
2023-10-08,90
2023-10-09,100
2023-10-10,97
2023-10-11,94
2023-10-12,77
2023-10-13,81
2023-10-14,75
2023-10-15,76
2023-10-16,100
2023-10-17,96
2023-10-18,93
2023-10-19,40
2023-10-20,48
2023-10-21,42
2023-10-22,41
2023-10-23,57
2023-10-24,100
2023-10-25,70
2023-10-26,86
2023-10-27,75
2023-10-28,66
2023-10-29,62
2023-10-30,70
2023-10-31,72
2023-11-01,69
2023-11-02,100
2023-11-03,100
2023-11-04,82
2023-11-05,83
2023-11-06,84
2023-11-07,88
2023-11-08,88
2023-11-09,100
2023-11-10,93
2023-11-11,81
2023-11-12,74
2023-11-13,79
2023-11-14,78
2023-11-15,83
2023-11-16,95
2023-11-17,87
2023-11-18,82
2023-11-19,79
2023-11-20,92
2023-11-21,89
2023-11-22,92
2023-11-23,92
2023-11-24,97
2023-11-25,87
2023-11-26,83
2023-11-27,86
2023-11-28,88
2023-11-29,90
2023-11-30,49
2023-12-01,52
2023-12-02,54
2023-12-03,56
2023-12-04,100
2023-12-05,88
2023-12-06,87
2023-12-07,83
2023-12-08,84
2023-12-09,76
2023-12-10,68
2023-12-11,84
2023-12-12,72
2023-12-13,70
2023-12-14,99
2023-12-15,94
2023-12-16,88
2023-12-17,82
2023-12-18,94
2023-12-19,99
2023-12-20,100
2023-12-21,99
2023-12-22,98
2023-12-23,92
2023-12-24,89
2023-12-25,90
2023-12-26,99
2023-12-27,94
2023-12-28,61
2023-12-29,61
2023-12-30,53
2023-12-31,51
2024-01-01,58
2024-01-02,90
2024-01-03,100
2024-01-04,52
2024-01-05,52
2024-01-06,43
2024-01-07,44
2024-01-08,58
2024-01-09,67
2024-01-10,100
2024-01-11,100
2024-01-12,64
2024-01-13,48
2024-01-14,41
2024-01-15,43
2024-01-16,40
2024-01-17,37
2024-01-18,92
2024-01-19,97
2024-01-20,74
2024-01-21,72
2024-01-22,90
2024-01-23,100
2024-01-24,84
2024-01-25,99
2024-01-26,92
2024-01-27,77
2024-01-28,78
2024-01-29,81
2024-01-30,95
2024-01-31,84
2024-02-01,94
2024-02-02,96
2024-02-03,86
2024-02-04,85
2024-02-05,91
2024-02-06,94
2024-02-07,91
2024-02-08,65
2024-02-09,82
2024-02-10,61
2024-02-11,69
2024-02-12,92
2024-02-13,95
2024-02-14,100
2024-02-15,100
2024-02-16,84
2024-02-17,71
2024-02-18,68
2024-02-19,75
2024-02-20,76
2024-02-21,71
2024-02-22,34
2024-02-23,33
2024-02-24,30
2024-02-25,30
2024-02-26,40
2024-02-27,64
2024-02-28,100
2024-02-29,85
2024-03-01,61
2024-03-02,54
2024-03-03,50
2024-03-04,82
2024-03-05,100
2024-03-06,73
2024-03-07,76
2024-03-08,78
2024-03-09,67
2024-03-10,68
2024-03-11,100
2024-03-12,88
2024-03-13,85
2024-03-14,85
2024-03-15,100
2024-03-16,75
2024-03-17,77
2024-03-18,74
2024-03-19,98
2024-03-20,89
2024-03-21,83
2024-03-22,75
2024-03-23,64
2024-03-24,66
2024-03-25,84
2024-03-26,82
2024-03-27,75
2024-03-28,92
2024-03-29,92
2024-03-30,78
2024-03-31,75
2024-04-01,86
